alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
yijing-039-jian__alignment-001,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,1,易經 39 judgment,蹇，利西南，不利東北；利見大人，貞吉。,易經 39 judgment,"In (the state indicated by) Jian advantage will be found in the south-west, and the contrary in the north-east. It will be advantageous (also) to meet with the great man. (In these circumstances), with firmness and correctness, there will be good fortune.","In (the state indicated by) Jian advantage will be found in the south-west, and the contrary in the north-east. It will be advantageous (also) to meet with the great man. (In these circumstances), with firmness and correctness, there will be good fortune.",[]
yijing-039-jian__alignment-002,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,2,易經 39 初六,初六：往蹇，來譽。,易經 39 初六,"From the first SIX, divided, we learn that advance (on the part of its subject) will lead to (greater) difficulties, while remaining stationary will afford ground for praise.","From the first SIX, divided, we learn that advance (on the part of its subject) will lead to (greater) difficulties, while remaining stationary will afford ground for praise.",[]
yijing-039-jian__alignment-003,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,3,易經 39 六二,六二：王臣蹇蹇，匪躬之故。,易經 39 六二,"The second SIX, divided, shows the minister of the king struggling with difficulty on difficulty, and not with a view to his own advantage.","The second SIX, divided, shows the minister of the king struggling with difficulty on difficulty, and not with a view to his own advantage.",[]
yijing-039-jian__alignment-004,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,4,易經 39 九三,九三：往蹇來反。,易經 39 九三,"The third NINE, undivided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and returns (to his former associates).","The third NINE, undivided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and returns (to his former associates).",[]
yijing-039-jian__alignment-005,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,5,易經 39 六四,六四：往蹇來連。,易經 39 六四,"The fourth SIX, divided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and unites (with the subject of the line above).","The fourth SIX, divided, shows its subject advancing, (but only) to (greater) difficulties. He remains stationary, and unites (with the subject of the line above).",[]
yijing-039-jian__alignment-006,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,6,易經 39 九五,九五：大蹇朋來。,易經 39 九五,"The fifth NINE, undivided, shows its subject struggling with the greatest difficulties, while friends are coming to help him.","The fifth NINE, undivided, shows its subject struggling with the greatest difficulties, while friends are coming to help him.",[]
yijing-039-jian__alignment-007,yijing,yijing-039-jian,section,block,block,False,,1,1,exact_or_near_exact,1.0,7,易經 39 上六,上六：往蹇來碩，吉；利見大人。,易經 39 上六,"The topmost SIX, divided, shows its subject going forward, (only to increase) the difficulties, while his remaining stationary will be (productive of) great (merit). There will be good fortune, and it will be advantageous to meet with the great man.","The topmost SIX, divided, shows its subject going forward, (only to increase) the difficulties, while his remaining stationary will be (productive of) great (merit). There will be good fortune, and it will be advantageous to meet with the great man.",[]
